Partlist

Exported from keyBoard_A.brd at 2016-08-18 11:49:36

EAGLE Version 6.3.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value              Package             Library           Position (mil)        Orientation

R23                         M0805               rcl               (3425 -18962.5)       R0
R24      1M                 R0603-ROUND         SmartPrj          (2875 -18950)         R0
R25                         M0805               rcl               (3612.5 -18962.5)     R0
RESET    TS42               TS42                SmartPrj          (4987.5 -16992.5)     R180
RN1      10K                CAY16               resistor-dil      (5937.5 -18212.5)     R270
RN3      22R                CAY16               resistor-dil      (5237.5 -17462.5)     R90
S1       Scroll Lock        CHERRY-MX-4P        cherrymx          (800 -9725)           R180
S2       ESC                CHERRY-MX-4P        cherrymx          (1550 -9725)          R180
S3       Ins                CHERRY-MX-4P        cherrymx          (800 -10475)          R180
S4       Pause              CHERRY-MX-4P        cherrymx          (1550 -10475)         R180
S5       Home               CHERRY-MX-4P        cherrymx          (800 -11225)          R180
S6       PageUp             CHERRY-MX-4P        cherrymx          (1550 -11225)         R180
S7       End                CHERRY-MX-4P        cherrymx          (800 -11975)          R180
S8       PageDown           CHERRY-MX-4P        cherrymx          (1550 -11975)         R180
S9       Up                 CHERRY-MX-4P        cherrymx          (1550 -13025)         R180
S10      Left               CHERRY-MX-4P        cherrymx          (800 -13775)          R180
S11      Down               CHERRY-MX-4P        cherrymx          (1550 -13775)         R180
S12      Right              CHERRY-MX-4P        cherrymx          (2300 -13775)         R180
S13      F1                 CHERRY-MX-4P        cherrymx          (3000 -9725)          R180
S14      F2                 CHERRY-MX-4P        cherrymx          (3750 -9725)          R180
S15      F3                 CHERRY-MX-4P        cherrymx          (4500 -9725)          R180
S16      F4                 CHERRY-MX-4P        cherrymx          (5250 -9725)          R180
S17      F5                 CHERRY-MX-4P        cherrymx          (6300 -9725)          R180
S18      F6                 CHERRY-MX-4P        cherrymx          (7050 -9725)          R180
S19      1                  CHERRY-MX-4P        cherrymx          (3300 -10775)         R180
S20      2                  CHERRY-MX-4P        cherrymx          (4050 -10775)         R180
S21      3                  CHERRY-MX-4P        cherrymx          (4800 -10775)         R180
S22      4                  CHERRY-MX-4P        cherrymx          (5550 -10775)         R180
S23      5                  CHERRY-MX-4P        cherrymx          (6300 -10775)         R180
S24      6                  CHERRY-MX-4P        cherrymx          (7050 -10775)         R180
S25      TAB                CHERRY-MX-4P        cherrymx          (3100 -11525)         R180
S26      Q                  CHERRY-MX-4P        cherrymx          (4050 -11525)         R180
S27      W                  CHERRY-MX-4P        cherrymx          (4800 -11525)         R180
S28      E                  CHERRY-MX-4P        cherrymx          (5550 -11525)         R180
S29      R                  CHERRY-MX-4P        cherrymx          (6300 -11525)         R180
S30      T                  CHERRY-MX-4P        cherrymx          (7050 -11525)         R180
S31      LCtrl              CHERRY-MX-4P        cherrymx          (3000 -12275)         R180
S32      A                  CHERRY-MX-4P        cherrymx          (4050 -12275)         R180
S33      S                  CHERRY-MX-4P        cherrymx          (4800 -12275)         R180
S34      D                  CHERRY-MX-4P        cherrymx          (5550 -12275)         R180
S35      F                  CHERRY-MX-4P        cherrymx          (6300 -12275)         R180
S36      G                  CHERRY-MX-4P        cherrymx          (7050 -12275)         R180
S37      L Shift            CHERRY-MX-4P        cherrymx          (2925 -13025)         R180
S38      Z                  CHERRY-MX-4P        cherrymx          (4050 -13025)         R180
S39      X                  CHERRY-MX-4P        cherrymx          (4800 -13025)         R180
